top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 용어와 식의 정리,간단히 하기,11665,11666
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 용어와 식의 정리,다항식의 용어,11665,11667
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 용어와 식의 정리,내림차순과 오름차순,11665,11668
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식1(두 다항식),11670,11671
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식2(세 개 이상의 다항식),11670,11672
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식3(다항식 X구하기),11670,11673
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식4(미정계수 구하기),11670,11674
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식5(정의된 연산),11670,11675
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈1(주어진 다항식),주어진 다항식6(식 세우기),11670,11676
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈2(연립),연립1(기본),11677,11678
고등수학분류,공통수학1,다항식의 연산,다항식의 덧셈과 뺄셈,다항식의 덧셈과 뺄셈2(연립),연립2(다항식 X구하기),11677,11679
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈1(특정항의 계수),특정항의 계수1(계수 구하기),11681,11682
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈1(특정항의 계수),특정항의 계수2(식 변형 후 계수 구하기),11681,11683
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈1(특정항의 계수),특정항의 계수3(계수 조건),11681,11684
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈1(특정항의 계수),특정항의 계수4(정의된 연산),11681,11685
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식1(단순 전개),11686,11687
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식2(공식 적용),11686,11688
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식3(주어진 다항식),11686,11689
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식4(연속 적용),11686,11690
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식5(다항식 구한 후 공식 적용),11686,11691
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식6(특정항의 계수 구하기),11686,11692
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식7(특정항의 계수 조건),11686,11693
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈2(곱셈공식을 이용한 다항식의 전개),곱셈공식8(참거짓 및 합답형),11686,11694
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈3(공통부분이 있는 다항식의 전개),공통부분1(치환),11695,11696
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈3(공통부분이 있는 다항식의 전개),공통부분2(공통부분 만들기),11695,11697
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈3(공통부분이 있는 다항식의 전개),공통부분3(특정항의 계수 구하기),11695,11698
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기1(대입),11699,11700
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기2(구하는 식의 전개),11699,11701
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기3(주어진 식의 전개),11699,11702
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기4(주어진 식의 변형식 이용),11699,11703
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기5(주기성. 차수 낮추기),11699,11704
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈4(식의 값 구하기),식의 값 구하기6(삼차식의 전개식의 계수 이용),11699,11705
