top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수1(약수),약수1(주어진 수를 곱으로 표현하기),3400,3401
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수1(약수),약수2(약수 구하기),3400,3402
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수1(약수),약수3(주어진 약수의 해석),3400,3403
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수1(약수),약수4(표현의 해석),3400,3404
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수2(배수),배수1(배수 구하기),3405,3406
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수2(배수),배수2(배수의 개수 구하기),3405,3407
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수2(배수),배수3(참거짓 및 합답형),3405,3408
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수1(판단),3409,3410
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수2(소수 또는 합성수 찾기),3409,3411
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수3(표현의 해석),3409,3412
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수4(소수의 합으로 표현하기),3409,3413
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수5(쌍둥이 소수 찾기),3409,3414
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수6(소수의 개수 조건),3409,3415
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수3(소수와 합성수의 뜻과 해석),소수와 합성수7(각 자리수의 여러조건),3409,3416
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수4(성질),성질1(참거짓),3417,3418
중등수학분류,중1-1,소인수분해,소수와 합성수,소수와 합성수4(성질),성질2(합답형),3417,3419
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱1(곱을 거듭제곱으로 나타내기),표현1(밑과 지수의 뜻),3421,3422
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱1(곱을 거듭제곱으로 나타내기),"표현2(곱을 한 수의 거듭제곱으로 표현, 자연수 조건)",3421,3423
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱1(곱을 거듭제곱으로 나타내기),"표현3(곱을 한 수의 거듭제곱으로 표현, 분수 조건)",3421,3424
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱1(곱을 거듭제곱으로 나타내기),"표현4(곱을 여러 수의 개듭제곱으로 표현, 자연수 조건)",3421,3425
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱1(곱을 거듭제곱으로 나타내기),"표현5(곱을 여러 수의 개듭제곱으로 표현, 분수 조건)",3421,3426
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱2(수를 거듭제곱으로 나타내기),표현1(자연수 조건),3427,3428
중등수학분류,중1-1,소인수분해,소수와 합성수,거듭제곱2(수를 거듭제곱으로 나타내기),표현2(분수 조건),3427,3429
중등수학분류,중1-1,소인수분해,소인수분해,소인수분해1(소인수분해하기),소인수분해1(방법1. 가지치기),3431,3432
중등수학분류,중1-1,소인수분해,소인수분해,소인수분해1(소인수분해하기),소인수분해2(방법2. 소인수로 나누기),3431,3433
중등수학분류,중1-1,소인수분해,소인수분해,소인수분해1(소인수분해하기),"소인수분해3(방법3. 방법1,2의 결합)",3431,3434
